"","time","Antarctic_mass","Antarctic_mass_uncertainty"
"1",2002.29,0,178.9
"2",2002.35,23.7,102.47
"3",2002.62,-51.67,83.09
"4",2002.71,47.89,97.19
"5",2002.79,72.21,61.82
"6",2002.87,-59.54,58.68
"7",2002.96,-41.94,59.19
"8",2003.04,-47.77,64.73
"9",2003.12,-196.05,48.1
"10",2003.2,-164.51,42.95
"11",2003.29,-35.46,43.58
"12",2003.36,6.62,48.24
"13",2003.54,-118.07,37.86
"14",2003.62,-113.38,39.87
"15",2003.71,-121.68,39.61
"16",2003.79,-38.91,40.19
"17",2003.87,-98.21,40.89
"18",2003.96,-263.54,39.82
"19",2004.02,-324.03,43.72
"20",2004.13,-482.18,40.46
"21",2004.21,-330.45,37.97
"22",2004.29,-376.34,37.56
"23",2004.37,-147.69,38.36
"24",2004.46,-180.02,37.47
"25",2004.54,-304.17,34.08
"26",2004.62,-157.91,35.44
"27",2004.71,-154.07,36.2
"28",2004.79,-77.58,33.33
"29",2004.87,-219.45,36.02
"30",2004.96,-298,35.33
"31",2005.04,-384.07,33.76
"32",2005.12,-446.8,35.22
"33",2005.2,-397.61,34.97
"34",2005.29,-243.25,34.3
"35",2005.37,-221.04,35.04
"36",2005.46,-197.63,35.16
"37",2005.54,-151.79,33.88
"38",2005.62,-201.2,34.19
"39",2005.71,-104.09,33.91
"40",2005.79,-97.81,33.17
"41",2005.87,-51.27,33.08
"42",2005.96,-156,38.45
"43",2006.04,-216.53,34.46
"44",2006.12,-309.85,35.03
"45",2006.2,-174.33,35.19
"46",2006.29,-150.68,35.23
"47",2006.37,-71.71,35.51
"48",2006.45,-42.03,37.9
"49",2006.54,-91.59,37.37
"50",2006.62,-1.54,36.14
"51",2006.71,-13.62,37.96
"52",2006.79,-88.09,37
"53",2006.87,-80.56,36.85
"54",2006.96,-226.28,37.92
"55",2007.04,-430.45,38.38
"56",2007.12,-420.86,37.94
"57",2007.2,-352.28,37.66
"58",2007.29,-327.42,37.77
"59",2007.37,-171.53,37.57
"60",2007.45,-183.02,38.38
"61",2007.54,-259.85,37.52
"62",2007.62,-223.61,39.45
"63",2007.71,-150.57,39.17
"64",2007.79,-239.08,39.51
"65",2007.87,-431.28,40.82
"66",2007.96,-513.31,39.77
"67",2008.04,-720.76,39.43
