"","date","Antarctic_mass","monthly_average","No_Smoothing","Greenland_mass","extent"
"1",1880,NA,NA,-0.17,NA,NA
"2",1881,NA,NA,-0.09,NA,NA
"3",1882,NA,NA,-0.11,NA,NA
"4",1883,NA,NA,-0.18,NA,NA
"5",1884,NA,NA,-0.28,NA,NA
"6",1885,NA,NA,-0.33,NA,NA
"7",1886,NA,NA,-0.31,NA,NA
"8",1887,NA,NA,-0.36,NA,NA
"9",1888,NA,NA,-0.17,NA,NA
"10",1889,NA,NA,-0.1,NA,NA
"11",1890,NA,NA,-0.35,NA,NA
"12",1891,NA,NA,-0.22,NA,NA
"13",1892,NA,NA,-0.27,NA,NA
"14",1893,NA,NA,-0.32,NA,NA
"15",1894,NA,NA,-0.32,NA,NA
"16",1895,NA,NA,-0.23,NA,NA
"17",1896,NA,NA,-0.11,NA,NA
"18",1897,NA,NA,-0.11,NA,NA
"19",1898,NA,NA,-0.27,NA,NA
"20",1899,NA,NA,-0.18,NA,NA
"21",1900,NA,NA,-0.08,NA,NA
"22",1901,NA,NA,-0.16,NA,NA
"23",1902,NA,NA,-0.28,NA,NA
"24",1903,NA,NA,-0.37,NA,NA
"25",1904,NA,NA,-0.47,NA,NA
"26",1905,NA,NA,-0.26,NA,NA
"27",1906,NA,NA,-0.22,NA,NA
"28",1907,NA,NA,-0.39,NA,NA
"29",1908,NA,NA,-0.43,NA,NA
"30",1909,NA,NA,-0.48,NA,NA
"31",1910,NA,NA,-0.43,NA,NA
"32",1911,NA,NA,-0.44,NA,NA
"33",1912,NA,NA,-0.36,NA,NA
"34",1913,NA,NA,-0.34,NA,NA
"35",1914,NA,NA,-0.15,NA,NA
"36",1915,NA,NA,-0.14,NA,NA
"37",1916,NA,NA,-0.36,NA,NA
"38",1917,NA,NA,-0.46,NA,NA
"39",1918,NA,NA,-0.3,NA,NA
"40",1919,NA,NA,-0.28,NA,NA
"41",1920,NA,NA,-0.27,NA,NA
"42",1921,NA,NA,-0.19,NA,NA
"43",1922,NA,NA,-0.29,NA,NA
"44",1923,NA,NA,-0.27,NA,NA
"45",1924,NA,NA,-0.27,NA,NA
"46",1925,NA,NA,-0.22,NA,NA
"47",1926,NA,NA,-0.11,NA,NA
"48",1927,NA,NA,-0.22,NA,NA
"49",1928,NA,NA,-0.2,NA,NA
"50",1929,NA,NA,-0.36,NA,NA
"51",1930,NA,NA,-0.16,NA,NA
"52",1931,NA,NA,-0.09,NA,NA
"53",1932,NA,NA,-0.15,NA,NA
"54",1933,NA,NA,-0.28,NA,NA
"55",1934,NA,NA,-0.12,NA,NA
"56",1935,NA,NA,-0.2,NA,NA
"57",1936,NA,NA,-0.14,NA,NA
"58",1937,NA,NA,-0.02,NA,NA
"59",1938,NA,NA,0,NA,NA
"60",1939,NA,NA,-0.01,NA,NA
"61",1940,NA,NA,0.13,NA,NA
"62",1941,NA,NA,0.19,NA,NA
"63",1942,NA,NA,0.07,NA,NA
"64",1943,NA,NA,0.09,NA,NA
"65",1944,NA,NA,0.21,NA,NA
"66",1945,NA,NA,0.09,NA,NA
"67",1946,NA,NA,-0.07,NA,NA
"68",1947,NA,NA,-0.02,NA,NA
"69",1948,NA,NA,-0.1,NA,NA
"70",1949,NA,NA,-0.11,NA,NA
"71",1950,NA,NA,-0.17,NA,NA
"72",1951,NA,NA,-0.07,NA,NA
"73",1952,NA,NA,0.01,NA,NA
"74",1953,NA,NA,0.08,NA,NA
"75",1954,NA,NA,-0.13,NA,NA
"76",1955,NA,NA,-0.14,NA,NA
"77",1956,NA,NA,-0.19,NA,NA
"78",1957,NA,NA,0.05,NA,NA
"79",1958,NA,NA,0.06,NA,NA
"80",1958.2027,NA,315.7,NA,NA,NA
"81",1958.2877,NA,317.45,NA,NA,NA
"82",1958.3699,NA,317.51,NA,NA,NA
"83",1958.4548,NA,317.24,NA,NA,NA
"84",1958.537,NA,315.86,NA,NA,NA
"85",1958.6219,NA,314.93,NA,NA,NA
"86",1958.7068,NA,313.2,NA,NA,NA
"87",1958.789,NA,312.43,NA,NA,NA
"88",1958.874,NA,313.33,NA,NA,NA
"89",1958.9562,NA,314.67,NA,NA,NA
"90",1959,NA,NA,0.03,NA,NA
"91",1959.0411,NA,315.58,NA,NA,NA
"92",1959.126,NA,316.48,NA,NA,NA
"93",1959.2027,NA,316.65,NA,NA,NA
"94",1959.2877,NA,317.72,NA,NA,NA
"95",1959.3699,NA,318.29,NA,NA,NA
"96",1959.4548,NA,318.15,NA,NA,NA
"97",1959.537,NA,316.54,NA,NA,NA
"98",1959.6219,NA,314.8,NA,NA,NA
"99",1959.7068,NA,313.84,NA,NA,NA
"100",1959.789,NA,313.33,NA,NA,NA
"101",1959.874,NA,314.81,NA,NA,NA
"102",1959.9562,NA,315.58,NA,NA,NA
"103",1960,NA,NA,-0.03,NA,NA
"104",1960.041,NA,316.43,NA,NA,NA
"105",1960.1257,NA,316.98,NA,NA,NA
"106",1960.2049,NA,317.58,NA,NA,NA
"107",1960.2896,NA,319.03,NA,NA,NA
"108",1960.3716,NA,320.04,NA,NA,NA
"109",1960.4563,NA,319.59,NA,NA,NA
"110",1960.5383,NA,318.18,NA,NA,NA
